POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	%Leveringsrichting	SJV	WIJKEN
1011SR	1011SR	ELK	100	1009	CENTRUM
1011SR	1011SR	GAS	100	9	CENTRUM
1011ST	1011ST	GAS	100	14	CENTRUM
1011ST	1011ST	ELK	100	941	CENTRUM
1011SV	1011SV	ELK	100	1051	CENTRUM
1011SV	1011SV	GAS	100	13	CENTRUM
1011SW	1011SW	ELK	100	1039	CENTRUM
1011SW	1011SW	GAS	100	18	CENTRUM
1011SX	1011SX	GAS	100	8	CENTRUM
1011SX	1011SX	ELK	100	971	CENTRUM
1011SZ	1011SZ	GAS	100	19	CENTRUM
1011SZ	1011SZ	ELK	100	885	CENTRUM
1011TA	1011TB	ELK	97,18	2979	CENTRUM
1011TA	1011TB	GAS	100	1655	CENTRUM
1011TC	1011TC	GAS	100	1809	CENTRUM
1011TC	1011TC	ELK	100	5424	CENTRUM
1011TD	1011TD	GAS	100	4046	CENTRUM
1011TD	1011TD	ELK	100	7865	CENTRUM
1011TE	1011TE	ELK	100	5219	CENTRUM
1011TE	1011TE	GAS	100	2044	CENTRUM
1011TG	1011TG	GAS	100	2778	CENTRUM
1011TG	1011TG	ELK	100	3136	CENTRUM
1011TJ	1011TJ	ELK	100	3358	CENTRUM
1011TJ	1011TJ	GAS	100	1391	CENTRUM
1011TK	1011TL	ELK	100	2571	CENTRUM
1011TK	1011TL	GAS	100	1318	CENTRUM
1011TM	1011TM	ELK	100	4726	CENTRUM
1011TM	1011TM	GAS	100	1010	CENTRUM
1011TN	1011TP	GAS	100	1256	CENTRUM
1011TN	1011TN	ELK	100	2079	CENTRUM
1011TP	1011TP	ELK	100	2337	CENTRUM
1011TR	1011TR	ELK	100	2938	CENTRUM
1011TR	1011TR	GAS	100	1429	CENTRUM
1011TS	1011TS	ELK	100	2698	CENTRUM
1011TS	1011TS	GAS	100	1384	CENTRUM
1011TT	1011TT	ELK	100	2911	CENTRUM
1011TT	1011TT	GAS	100	1566	CENTRUM
1011TV	1011TV	ELK	100	2539	CENTRUM
1011TV	1011TV	GAS	100	1162	CENTRUM
1011TW	1011TW	ELK	100	10637	CENTRUM
1011TW	1011TW	GAS	100	1799	CENTRUM
1011TX	1011TX	GAS	100	1027	CENTRUM
1011TX	1011TX	ELK	100	3035	CENTRUM
1011TZ	1011TZ	GAS	100	1029	CENTRUM
1011TZ	1011TZ	ELK	100	2357	CENTRUM
1011VA	1011VA	ELK	100	6978	CENTRUM
1011VA	1011VA	GAS	100	990	CENTRUM
1011VB	1011VB	ELK	100	2918	CENTRUM
1011VB	1011VB	GAS	100	1272	CENTRUM
1011VC	1011VK	ELK	96,55	2179	CENTRUM
1011VC	1011VK	GAS	100	851	CENTRUM
1011VL	1011VL	GAS	100	1860	CENTRUM
1011VL	1011VL	ELK	100	4447	CENTRUM
1011VM	1011VM	GAS	100	2749	CENTRUM
1011VM	1011VM	ELK	100	5017	CENTRUM
1011VP	1011VP	ELK	100	1679	CENTRUM
1011VP	1011VP	GAS	100	1163	CENTRUM
1011VR	1011VR	GAS	100	545	CENTRUM
1011VR	1011VR	ELK	100	1319	CENTRUM
1011VS	1011VS	GAS	100	975	CENTRUM
1011VS	1011VS	ELK	100	2095	CENTRUM
1011VX	1011WB	ELK	100	5701	CENTRUM
1011VX	1011WB	GAS	100	2349	CENTRUM
1011WC	1011WC	GAS	100	944	CENTRUM
1011WC	1011WC	ELK	100	2101	CENTRUM
1011WD	1011WD	ELK	100	1826	CENTRUM
1011WD	1011WD	GAS	100	1038	CENTRUM
1011XA	1011XA	ELK	100	1827	CENTRUM
1011XA	1011XA	GAS	100	1236	CENTRUM
1012AA	1012AA	ELK	100	17003	CENTRUM
1012AA	1012AE	GAS	100	4754	CENTRUM
1012AB	1012AB	ELK	100	2633	CENTRUM
1012AC	1012AC	ELK	100	12870	CENTRUM
1012AD	1012AD	ELK	100	4068	CENTRUM
1012AE	1012AE	ELK	100	9026	CENTRUM
1012AG	1012AH	GAS	100	2153	CENTRUM
1012AG	1012AG	ELK	100	10935	CENTRUM
1012AH	1012AH	ELK	100	7712	CENTRUM
