MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
	Liander N.V. (NW)	Zwanenburgwal	1011	1011	ELK	KVB	23	100	91,3	48	1x35	1701	73,91	69,57	1	CENTRUM
Liander N.V.	GAS Liander	Zwanenburgwal	1011	1011	GAS	KVB	92	100	94,57	95	G4	1487	0	75		CENTRUM
Liander N.V.	Liander N.V. (NW)	Zwanenburgwal	1011	1011	ELK	KVB	97	100	86,6	39	1x35	3824	67,01	63,92	1,2	CENTRUM
	GAS Liander	Staalstraat	1011	1011	GAS	KVB	10	100	100	80	G4	2506	0	10		CENTRUM
Liander N.V.	GAS Liander	Staalstraat	1011	1011	GAS	KVB	12	100	83,33	92	G4	1030	0	16,67		CENTRUM
	GAS Liander	Staalstraat	1011	1011	GAS	KVB	27	100	100	96	G4	1285	0	48,15		CENTRUM
Liander N.V.	GAS Liander	Staalstraat	1011	1011	GAS	KVB	14	100	71,43	86	G4	1563	0	7,14		CENTRUM
	GAS Liander	Staalkade	1011	1011	GAS	KVB	16	100	100	81	G4	1494	0	93,75		CENTRUM
	Liander N.V. (NW)	Staalkade	1011	1011	ELK	KVB	18	100	100	44	1x25	3216	88,89	88,89	1	CENTRUM
	GAS Liander	Nieuwmarkt	1011	1011	GAS	KVB	11	100	100	91	G4	2304	0	100		CENTRUM
	GAS Liander	Nieuwmarkt	1011	1011	GAS	KVB	16	100	75	100	G4	1794	0	75		CENTRUM
	GAS Liander	Nieuwmarkt	1011	1011	GAS	KVB	20	100	100	75	G4	2613	0	30		CENTRUM
Liander N.V.	Liander N.V. (NW)	Kloveniersburgwal	1011	1011	ELK	KVB	19	100	94,74	37	1x25	2394	10,53	5,26	1,1	CENTRUM
Liander N.V.	GAS Liander	Kloveniersburgwal	1011	1011	GAS	KVB	17	100	94,12	76	G4	2041	0	0		CENTRUM
